path,group,category,lines,sha256
service/packages/mcp/src/policy/approval-broker.ts,packages/mcp,production,327,87f8942e3e16f3fce9b444479e3dba891f71af87d425fa24118bc31ef4353e3c
service/packages/mcp/src/policy/approval-gate.ts,packages/mcp,production,13,228098d176d6be494ccf864477c943136060585a4b34eae2314c885c815cffa1
service/packages/mcp/src/policy/approval-prompt.ts,packages/mcp,production,79,eab1896fddeaf6333a35239ed2e3a09a518196d27b33a2041eb904bec9f15a56
service/packages/mcp/src/policy/egress-policy.ts,packages/mcp,production,164,61e69fde8ab96ea4d747b432efb581cadcd575d5867116bbc7083f5a66abf807
service/packages/mcp/src/policy/operation-policy.ts,packages/mcp,production,389,11c76bfaa8edfc3eb030cdb146e5e9e36be3124c5d28ab084523611b2c1a49e6
service/packages/mcp/src/policy/policy-engine.ts,packages/mcp,production,412,c1525abd4d4c9c199f055741d269281ed0e4626760c1a48485756692cb0cb9ba
service/packages/mcp/src/policy/result-egress-policy.ts,packages/mcp,production,405,df1b6246a0f7857bc21804a36c57c12fff4a8c64502ecc432f6a56b3553d2c93
service/packages/mcp/src/profile/profile.ts,packages/mcp,production,898,ccf0d6174fd4bf11c527142037c9ec3e74547ca170ea31f36f7c42eb8ae6188f
service/packages/mcp/src/prompts/code-to-figma.ts,packages/mcp,production,55,bed5e33fea583e01bf6852015205f6d8540c82d5837f9ddff44ac21b153fb8f1
service/packages/mcp/src/prompts/figma-to-code.ts,packages/mcp,production,79,604fd62a92b15cfc63b861f9c937449d64110d07618e2481a62cdf5c2a4bd48a
service/packages/mcp/src/prompts/registry.ts,packages/mcp,production,44,40dafa70eb3a1ef8742ad406c4948eb92e70cc1eb32e162871ff53f3b96f9110
service/packages/mcp/src/relay/relay.ts,packages/mcp,production,931,344bc00bb0bb217171cf3a5f783a4d732a0e4d6b3680d5ae9c575788d56c169d
service/packages/mcp/src/relay/session.ts,packages/mcp,production,158,f2fc235f4785460f3526cc3e5760bf6d179b0e961138ee76299657e27d5d3bd7
service/packages/mcp/src/runtime-paths.ts,packages/mcp,production,148,5a6f107d570f36a0f71b45b9863a2e35c9922f9818d7827724814d6ab405f48a
service/packages/mcp/src/scan/scan.ts,packages/mcp,production,920,fd4aa617c0c2936e3c6438429c9818d7b7892b8036484341cf6e62f7ea7a0a75
service/packages/mcp/src/scan/sfc-blocks.ts,packages/mcp,production,349,3d598a168655cc963d02b43dadeb92fc8b7704ee81b139c898628fda9fd659ae
service/packages/mcp/src/security/follower-auth.ts,packages/mcp,production,391,ead64222bed9dbdb9c0022a12b11a91307f29fcec8848984a9922f0f2acdb61e
service/packages/mcp/src/security/follower-transport.ts,packages/mcp,production,1057,e9599c7053cda26649101997ef44c575b094a05864b549d6bd3f2f4f8daa542f
service/packages/mcp/src/security/local-access.ts,packages/mcp,production,44,8d7950df141199eaa2cb5eb2d6f0ef9b0cbd74dee1f33aa3690df70fbf957244
service/packages/mcp/src/security/pairing-manager.ts,packages/mcp,production,1003,4762e292834092e0fdf86a7edf76edab4a05647584a031e4d89b862408b5134f
service/packages/mcp/src/security/principal-derivation.ts,packages/mcp,production,197,850f5ec5de1bd9af0534286051f9b9875ec2d7c34e1b0e80d9593b1bd2880290
service/packages/mcp/src/security/request-limits.ts,packages/mcp,production,132,8f3acd27dcb1c145eea703833c100d63133113d0844e6c5031c219fd1c3a7686
service/packages/mcp/src/security/state-permissions.ts,packages/mcp,production,786,e4dde1554bef8dd8f5e2c526b1f2a98956aae62eb5d55fabdc6d4223a2385e44
service/packages/mcp/src/tokens/css-scan.ts,packages/mcp,production,397,5b49cba66ed7406ee587c3684d7f5eb2eb54c20971ad4da25fd067ea55ea2642
service/packages/mcp/src/tokens/figma-tokens.ts,packages/mcp,production,197,dbc9dff4f6d9a792fc0fdd75a30a04142e51b1fa6906e227ba0dd0da5cc0d796
service/packages/mcp/src/tokens/generated-tokens.ts,packages/mcp,production,74,3f7f604e85cee75651a8d7cead855f8b064794acf8f76e44ec44778956ac722d
service/packages/mcp/src/tokens/hex.ts,packages/mcp,production,14,f7b969cea35055f7aedf4c777df01157f6c6db3e1b6acfc1a3613f5460dbb180
service/packages/mcp/src/tokens/js-config.ts,packages/mcp,production,617,78faac17de207a1b722341fba1c3dd5f8b7ac2d44ad4d3574a326d615bf07c56
service/packages/mcp/src/tokens/load.ts,packages/mcp,production,487,6692cd3367d4ded98f857118fe9e6cc0ea5bb5ecf3b14bd724b5b5a4aec7f93d
service/packages/mcp/src/tokens/repo-css.ts,packages/mcp,production,52,07e9c5058bfd08eda800098cdbb80d61d4bb5207577f3c8a0c837275a43c68d3
service/packages/mcp/src/tokens/repo-scss.ts,packages/mcp,production,66,bd14cd9fab0bf58d71c7f9e28f9cfb6f1e49929a2560b580c0abad01921fb51c
service/packages/mcp/src/tokens/scss-file.ts,packages/mcp,production,85,75ba0c0cc4b18f04242e24a443bd3ecb7716c251d0b82edbe5fe61fd78cd00b0
service/packages/mcp/src/tokens/token-index.ts,packages/mcp,production,191,e24683cc425fb12e926fec4c7a89f47472a763bbda6a0634f1c654be11c7e464
service/packages/mcp/src/tokens/tokens.ts,packages/mcp,production,254,0106f9a339f626b7789dbff509b56ef7abb750aa3bfaf9e72497582cf857370d
service/packages/mcp/src/tool-invocation-service.ts,packages/mcp,production,103,3f78d1e2c14754b209c492077dec51dbfe3e8d337e04e4041c1fa30dfb1f121a
service/packages/mcp/src/tools/add-component-property.ts,packages/mcp,production,32,67e779850993f0d4da2abe233eeaa7b3de824f191d7261c5fcc9d1027c142760
service/packages/mcp/src/tools/add-page.ts,packages/mcp,production,14,f032b5634ef2d5da12e992312c24391468b88264356b4fc510d30f864c34cc36
service/packages/mcp/src/tools/add-variable-mode.ts,packages/mcp,production,19,a2f7e69e4f808c0cda2b27bf20cf9a5e53a9ed846ff91db806310f25aece9d0f
service/packages/mcp/src/tools/analyze-project.ts,packages/mcp,production,46,575f8a34574f46fbdbe8cf8c78fbd406b122ab259c81b889895ea42420a2befb
service/packages/mcp/src/tools/annotations.ts,packages/mcp,production,33,cdba27adbfb69de0cf30173ad04e4e0110b9a176a0cfc30b8003e3eab51a28d0
service/packages/mcp/src/tools/apply-animation-style.ts,packages/mcp,production,25,384d6a87f4ad095cdb288f63bf36873560cdab3b3e619f2d3a301669dd949075
service/packages/mcp/src/tools/apply-manual-keyframe-track.ts,packages/mcp,production,22,9c53799569753f92e5c9b30e43cf6889491324f0d24eafe5be705a57f9c67705
service/packages/mcp/src/tools/apply-style-to-node.ts,packages/mcp,production,18,028b723bdcbe4512c0798f6f352cfed3f12a257a6996b93c0bd2d10cf1821516
